/* This file requires rewriting of ß to ss in prepro.csv, but no rewriting of ä, ö and ü.
/* It recognizes input with ä, ö, ü as well as with ae, oe, ue.

;;-;KB17, added Hyphen #19-sde;DEKomma;DEHyphen
;;,;KB11, don't add label Punctuation: will interfer with r414 and 416;DEKomma;
;;:;KB11, added Punctuation 03-12-2015-sde;DEDoppelpunkt;Punctuation;
;;*;;DELayout;
;;/ die grünen;KB16, onvolledig wegen KB-beperking;DECon;
;;\( oder \);DEGeo,KB17, added backslashes because of anternation support;DECon;
;;% mehr;KB10;DECon;
;;+;deel2;DERel;
;;=;deel2;DERel;

;;B angesichts;#20-sde;SBegin;-;DEPrep;
;;B mittels;#20-sde;SBegin;-;DEPrep;
;;oder nicht E;#20-sde;DEAdv;DEAdvNonrelevant;Join;-;SEnd;
;;oder auch nicht E;#20-sde;DEAdv;DEAdvNonrelevant;Join;Join;-;SEnd;

;;(.|)(0|1|2|3|4|5|6|7|8|9);2014.2-sde;DENum;DEAttradj;
;;(.|)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);2014.2-sde;DENum;DEAttradj;
;;(.|)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);2014.2-sde;DENum;DEAttradj;
/*;;(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);2014.2-sde;DENum;DEAttradj;
/*;;(1|2|3|4|5|6|7|8|9|)(0|1|2|3|4|5|6|7|8|9|)(0|1|2|3|4|5|6|7|8|9).(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);DENum;DEAttradj;

;;\(1\);numbered list, 2016-05-11-sde;DELayout;
;;\(2\);numbered list, 2016-05-11-sde;DELayout;
;;\(3\);numbered list, 2016-05-11-sde;DELayout;
;;\(4\);numbered list, 2016-05-11-sde;DELayout;
