1;;’;';;
2;;‘;';;
3;;“;";;
4;;”;";;
11;;„;";;
8;;ß;ss;;
13;;–;-;;20120910
14;;.[;. [;;for footnotes, 2016-06-22-sde
15;;."[;." [;;for footnotes, 2016-06-22-sde
16;;,[; [;;for footnotes, 2016-06-22-sde
17;;\-\;@hyphen@;;temporary rewriting to avoid that 18 is applied on freestanding hyphen #6-sde
18;;-\;- @connect@;;marks words ending in hyphen for further processing #6-sde
20;;-,\;- @connect@,;;marks words ending in hyphen + comma for further processing #6-sde
19;;@hyphen@;-;;undo temporary rewriting #6-sde
