1;;\no-;no- ;;om voorvoegsel negatie te kunnen geven
4;;“;";;herschrijft rechtsgekrulde dubbele aanhalingstekens naar rechte dubbele aanhalingstekens
5;;”;";;herschrijft linksgekrulde dubbele aanhalingstekens naar rechte dubbele aanhalingstekens
6;;‘;';;herschrijft rechtsgekruld aanhalingsteken naar recht aanhalingsteken
7;;’;';;herschrijft linksgekruld aanhalingsteken naar recht aanhalingsteken
8;;.-;. -;;zet spatie tussen punt en koppelteken
9;;.[;. [;;for footnotes, 27-06-2016-nl 2016.4
10;;".[;". [;;for footnotes, 27-06-2016-nl 2016.4
11;;».[;». [;;for footnotes, 27-06-2016-nl 2016.4
12;;,[; , [;;for footnotes, 27-06-2016-nl 2016.4
13;;\);;;to make bracket attached to word NonRelevant 27-06-2016-nl,2016.4
14;;(\;;;to make bracket attached to word NonRelevant 27-06-2016-nl,2016.4
15;;…\; …;;to prevent … to become part of Concept 27-06-2016-nl
80;;...; ... ;;to prevent '...' to hinder the indexing #13-sde
81;;-¡;- ¡ ;;to strip off initial hyphen and inversed exclamation mark that hinder lexrep lookup #14-sde
82;;-¿;- ¿ ;;to strip off initial hyphen and inversed question mark that hinder lexrep lookup #14-sde
16;;\-a;- a;;to strip off initial hyphen that hinders lexrep lookup #13-sde
42;;\-á;- á;;to strip off initial hyphen that hinders lexrep lookup #13-sde
17;;\-b;- b;;to strip off initial hyphen that hinders lexrep lookup #13-sde
18;;\-c;- c;;to strip off initial hyphen that hinders lexrep lookup #13-sde
19;;\-d;- d;;to strip off initial hyphen that hinders lexrep lookup #13-sde
20;;\-e;- e;;to strip off initial hyphen that hinders lexrep lookup #13-sde
43;;\-é;- é;;to strip off initial hyphen that hinders lexrep lookup #13-sde
21;;\-f;- f;;to strip off initial hyphen that hinders lexrep lookup #13-sde
22;;\-g;- g;;to strip off initial hyphen that hinders lexrep lookup #13-sde
23;;\-h;- h;;to strip off initial hyphen that hinders lexrep lookup #13-sde
24;;\-i;- i;;to strip off initial hyphen that hinders lexrep lookup #13-sde
44;;\-í;- i;;to strip off initial hyphen that hinders lexrep lookup #13-sde
25;;\-j;- j;;to strip off initial hyphen that hinders lexrep lookup #13-sde
26;;\-k;- k;;to strip off initial hyphen that hinders lexrep lookup #13-sde
27;;\-l;- l;;to strip off initial hyphen that hinders lexrep lookup #13-sde
