/* Mandatory labels and attributes are unified (TRW1207)
/* Mandatory labels: Concept, Relation, Unknown, NonRelevant, Punctuation, SBegin, SEnd, Numeric
/* Mandatory attributes: CapitalAll, CapitalInitial, CapitalMixed, NonSemantic

/* renamed phases (see documentation for details) #37-sde

/* Required labels (TRW1207)
12;1,$;Subject;typeAttribute;;0;2013.1;
13;1,$;Object;typeAttribute;;0;2013.1;
14;1,$;PrimaryRelation;typeAttribute;;0;2013.1;

/* SV Equivalents of mandatory labels
54;40,60,65,70,80,$;SVPunctuation;typeEndConcept;copy of mandatory label;0;;

/* SV Equivalents of mandatory attributes
51;1,40,45,$;SVCapitalAll;typeAttribute;copy of mandatory label;0;;
52;1,40,45,$;SVCapitalInitial;typeAttribute;copy of mandatory label;0;;
53;1,40,$;SVCapitalMixed;typeAttribute;copy of mandatory label;0;;

/* Default label
1;1,40,45,50,60,65,70,80,$;SVCon;typeConcept;default label;1;;

/* Structural labels
16;40,$;-;typeOther;symbol for composite labels;0;;

/* Other labels
37;1,40,45,50,60,65,70,80,$;SVAdj;typeConcept;adjective;0;01-07-2014-sde, added phase 50 14-01-2015-sde, added phase 80 #38-sde;
58;1,40,60,65,70,$;SVAdjCon;typeConcept;adjective or noun;0;04-07-2014-sde, added phase 70 #37-sde;
107;1,45,60,65,70,80,$;SVAdjpron;typeConcept;attributive pronoun used as an adjective;0;08-10-2014-sde CHANGE TYPE INTO BEGINCONCEPT LATER: RULES NEEDED;

/*22;1,40,50,60,$;SVAdv;typeConcept;adverb;0;29-04-2014-sde;
22;1,40,45,50,65,$;SVAdv;typeRelation;adverb;0;29-04-2014-sde, Concept->Relation #37-sde;
59;1,40,$;SVAdvAdj;typeAmbiguous;adjective or adverb;0;04-07-2014-sde;
86;1,40,$;SVAdvAdjCon;typeAmbiguous;adverb, adjective or noun;0;05-08-2014-sde;
60;1,40,$;SVAdvCon;typeAmbiguous;adverb or noun;0;04-07-2014-sde;
