/*
/* "labels.csv" for the English language model.
/*
/* Following are the predefined labels :
/*
/*	";1,$;Concept;typeConcept;;0;",
/*	";1,$;Join;typeOther;;0;",
/*	";1,$;JoinReverse;typeOther;;0;",
/*	";1,$;NonRelevant;typeOther;;0;",
/*	";1,$;Punctuation;typeEndConcept;;0;",
/*	";1,$;Relation;typeRelation;;0;",
/*	";1,$;Numeric;typeOther;;0;",
/*	";1,$;Unknown;typeOther;;0;",
/*	";1,$;CapitalAll;typeAttribute;;0;",
/*	";1,$;CapitalInitial;typeAttribute;;0;",
/*	";1,$;CapitalMixed;typeAttribute;;0;",
/*	";1,$;NonSemantic;typeAttribute;;0;Entity(NonSemantic)",
/*	";1,$;User1;typeAttribute;;0;",
/*	";1,$;User2;typeAttribute;;0;",
/*	";1,$;User3;typeAttribute;;0;",
/*	";1,$;AlphaBetic;typeConcept;;0;",
/*	";1,$;Space;typeOther;;0;",
/*	";1,$;Katakana;typeConcept;;0;",
/*	";1,$;UDNegation;typeAttribute;;0;",
/*	";1,$;UDPosSentiment;typeAttribute;;0;",
/*	";1,$;UDNegSentiment;typeAttribute;;0;",
/*	";1,$;UDConcept;typeConcept;;0;",
/*	";1,$;UDRelation;typeRelation;;0;",
/*	";1,$;UDNonRelevant;typeNonRelevant;;0;",
/*	";1,$;UDUnit;typeAttribute;;0;",
/*	";1,$;UDNumber;typeAttribute;;0;",
/*	";1,$;UDTime;typeAttribute;;0;",
/*	";1,$;UDCertainty;typeAttribute;;0;"
/*	";1,$;UDGeneric1;typeAttribute;;0;"
/*	";1,$;UDGeneric2;typeAttribute;;0;"
/*	";1,$;UDGeneric3;typeAttribute;;0;"
/*
/* auto-generated labels : phase numbers are collected from the rules.csv file
/*
/* ";;SBegin;typeAttribute"
/* ";;SEnd;typeAttribute"
/* ";;SCertainty;typeAttribute;general attribute for certainty;0;;Entity(Certainty)
/*
/*	";;SGeneric1;typeAttribute;general attribute for generic use;0;;Entity(Generic1)"
/*	";;SGeneric1Begin;typeAttribute;to begin the generic attribute span;0;;Path(Begin,Generic1)"
/*	";;SGeneric1Stop;typeAttribute;to end the generic attribute span;0;;Path(End,Generic1)"
/*	";;SGeneric2;typeAttribute;general attribute for generic use;0;;Entity(Generic2)"
/*	";;SGeneric2Begin;typeAttribute;to begin the generic attribute span;0;;Path(Begin,Generic2)"
/*	";;SGeneric2Stop;typeAttribute;to end the generic attribute span;0;;Path(End,Generic2)"
/*	";;SGeneric3;typeAttribute;general attribute for generic use;0;;Entity(Generic3)"
/*	";;SGeneric3Begin;typeAttribute;to begin the generic attribute span;0;;Path(Begin,Generic3)"
/*	";;SGeneric3Stop;typeAttribute;to end the generic attribute span;0;;Path(End,Generic3)"


/* Default label
;1,10,20,25,30,40,50,55,60,62,65,70,71,75,77,78,79,80,81,90,91,$;ENCon;typeConcept;concept;1;added phase 20;

/* EN equivalents of Mandatory labels
;1,10,20,25,26,40,50,55,60,62,65,70,71,75,77,78,79,81,90,$;ENPunctuation;typeOther;mandatory label;0;added phase 20;

/* EN equivalents of Mandatory attributes
;10,20,25,40;ENCapitalAll;typeAttribute;mandatory label;0;added phase 10 and 20;
;10,20,25,40,62,65,70,71,75;ENCapitalInitial;typeAttribute;mandatory label;0;added phase 10 and 20;
;40;ENCapitalMixed;typeAttribute;mandatory label;0;;

/* Required attributes
;$;PrimaryRelation;typeAttribute;For use with Japanese only;0;;
;55,$;Subject;typeAttribute;For use with Japanese only;0;;
;$;Object;typeAttribute;For use with Japanese only;0;;

;$;-;typeOther;symbol for composite labels;0;;

/* EN labels
/* Labels for specific words or characters
;10,25,40,50,55,60,62,65,70,71,75,77,78,79,90,91,$;ENAllSome;typeConcept;all, some;0;;
;1,10,20,25,40,50,55,60,62,65,70,71,75,77,78,79,81,90,91,$;ENAndOrBut;typeRelation;co-ordinative conjunctions;0;added phase 20;
;1,10,20,25,26,40,50,55,60,62,65,70,71,75,77,78,79,81,90,91,$;ENAndOr;typeRelation;co-ordinative conjunctions without but;0;;
;1,10,40,50,$;ENAny;typePathRelevant;"any";0;;
/*;1,10,50,90,91,$;ENAnymore;typeConcept;for 'any more' and 'no more';0;;
;1,10;ENAnymore;typeConcept;for 'any more' and 'no more';0;;
;1,10,50,90,91,$;ENAtAll;typeRelation;for 'not ... at all';0;;
;1,10;ENBack;typeAmbiguous;label for 'back':inf,noun,adverb;0;;
;1,40,50,55,90,91,$;ENBoth;typeConcept;both;0;;
;1,10,40,50,55,60,75,77,78,79,$;ENColon;typeEndConcept;colon;0;;
;1,10,20,25,26,40,50,55,60,70,75,77,78,79,90,91,$;ENComma;typeEndConcept;comma;0;added phase 20;
;1,10,20,40,50,60;ENEither;typeAmbiguous;either;0;added phase 20;
;1,40;ENEnough;typeOther;enough;0;;
;1,10;ENHer;typePathRelevant;her, for disambiguation;0;new;
;1,10,25,26,40,50,55,60,62,65,70,71,77,78,79,90,$;Hyphen;typePathRelevant;Endash and '- -';0;;
;1,75;ENHyphen75;typeOther;copy of ENHyphen for phase 75 because defining ENHyphen in phase 75 has side-effects;0;;
;1,10,40,50,55,60,65,70,71,75,77,78,79,$;ENIt;typePathRelevant;it;0;added phase 10;
;1,40,50,75,77,78,79;ENJust;typeConcept;just;0;;
;1,40,50,90,91,$;ENLitNo;typeConcept;only the word no;0;;
;1,20,25,40;ENMay;typeAmbiguous;to differentiate between "May" as month or name;0;added phase 20;
;1,10,30,40,90,91,$;ENMoreLess;typeConcept;more, less;0;;
;1,10,40,50,90,91,$;ENNeither;typeRelation;neither;0;;
;1,40;ENNever;typeRelation;never;0;;
;1,10,40,50,60,90,91,$;ENNo;typeConcept;no etc., added for medical content;0;;
;1,10;ENNomorethan;typeAmbiguous;0;'no more than';
;1,50,60,$;ENNone;typePathRelevant;none;0;;
;1,10,50;ENNor;typeRelation;nor;0;;
;1,10,40,50,55,60,65,70,71,77,78,79,81,90,91,$;ENNot;typeRelation;not etc., added for medical content;0;;
;10,50,$;ENNotMany;typePathRelevant;"not many";0;;
;1,10,60,75,90,91;ENOr;typeRelation;separate label for 'or';0;;
;1,10,25;ENOrMoreLess1;typeRelation;label for 'or' in 'or more' and 'or less';0;;
;1,10,25;ENOrMoreLess2;typeAmbiguous;label for 'more' and 'less' in 'or more' and 'or less';0;;
;1,10,25,40,55;ENOther;typeNonRelevant;other etc.;0;;
;1,10,40,50,55,65,70,71,77,78,79,90,91,$;ENOutOff;typeRelation;out, off;0;added phase 10;
;1,10,20,30,70,75,77,78,79,90,91,$;ENPercent;typeConcept;label for different lexreps expressing percent;0;added phase 20;
;1,40,90,91,$;ENQuarter;typeConcept;for first-fourth quarter in time expressions;0;;
;1,10,50;ENRight;typeAmbiguous;part of preposition when preceding it;0;;
;1,10;ENSince;typeAmbiguous;since;0;;
;1,10;ENSo;typeAmbiguous;so;0;;
;40;ENStreet;typeConcept;street, rd., avenue etc.;0;;
;1,10,40,50,$;ENThere;typeBeginConcept;there and some adverbs of place;0;;
;40,50,55,90,91,$;ENThesame;typeConcept;The same;0;;
;1,10,40,50,55,60,62,65,70,71,77,78,79,81,90,91,$;ENTo;typeRelation;((un)able) to;0;;
;1,10,40,50,60,90,$;ENToo;typeOther;(all) too;0;;
/*;1,60,62,65,70,71,77,78,79,81,$;ENUnless;typeBeginRelation;unless;0;;
;1,60,62,65,70,71,77,78,79,81;ENUnless;typeBeginRelation;unless;0;;
;1,10,40,50,90,91,$;ENVery;typeConcept;very;0;;
;1,40,50,60,71,75,77,78,79,81,90,91,$;ENWithout;typeRelation;without;0;;
;1,10;ENPast;typeAmbiguous;'past';0;;


/* General labels
;1,10,20,25,26,30,40,50,55,60,62,65,70,71,75,77,78,79,81,90,91,$;ENAdj;typeConcept;adjectives etc;0;added phase 20;
;1,10,20,25,40,90,91,$;ENAdjFreq;typeConcept;adjectives that indicate frequency;0;;
;1,40;ENAdjPrep;typeAmbiguous;adjectives that act as a preposition in combination with a preposition, e.g. consistent;0;;
/*;20,40,50,$;ENAdjtime;typeConcept;Adjectives that modify ENTimecon;0;;
;1,10,20,25,26,40,50,90,91,$;ENAdjtime;typeConcept;Adjectives that modify ENTimecon;0;;
;1,10,40;ENAdjTimeGen;typeConcept;time concepts in genitive used as adjective;0;;
/*;1,10,20,40,50,55,60,62,65,70,71,75,77,78,79,81,$;ENAdv;typeRelation;to deal with adverbs of several types;0;added phase 20;
