


/* Required labels
;1,$;Subject;typeAttribute;;0;;
;1,$;Object;typeAttribute;;0;;
;1,$;PrimaryRelation;typeAttribute;;0;;

/* NL Equivalents of mandatory labels
;40,50,60,63,65,70,80,$;NLPunctuation;typeEndConcept;copy of mandatory label;0;;
;40;NLUDConcept;typeConcept;copy of mandatory label;0;;
;40;NLUDRelation;typeRelation;copy of mandatory label;0;;

/* NL Equivalents of mandatory attributes
;40,65,$;NLCapitalAll;typeAttribute;copy of mandatory label;0;;
;1,40,65,$;NLCapitalInitial;typeAttribute;copy of mandatory label;0;;
;40,65,$;NLCapitalMixed;typeAttribute;copy of mandatory label;0;;


/* Default label
;1,30,40,50,60,63,65,70,80,85,$;NLCon;typeConcept;concept;1;;

/* Main labels
;1,40,50,60,63,65,70,80,$;NLAdj;typeConcept;uninflected present participles and adjectives;0;;
;1,70;NLAntecedent;typeOther;extra label to limit expansion for antecedents;0;;
;1,30,40,65,$;NLAdvDegree;typeOther;adverb of degree;0;;
;1,40,65,$;NLAdvDirection;typeRelation;adverb expressing direction;0;;
;1,40,65,$;NLAdvManner;typeRelation;adverbs of manner;0;;
;1,40,63,65,70,$;NLAdvModality;typeRelation;modal adverb;0;;
;1,40,65,$;NLAdvTempCon;typeOther;adverb or noun, expressing time;0;;
;1,40;NLAdvTempConj;typeAmbiguous;extra label for 'nu', 'telkens';0;;
;1,40,50,65,$;NLAdvPlace;typePathRelevant;adverb of place;0;;
;1,40,65,70,$;NLAdvRestriction;typeOther;alleen, enkel;0;;
;1,40,50,60,63,65,70,80,$;NLAdvStruct;typeAmbiguous;structural, nonrelevant words;0;;
;1,40,50,65,70,80,$;NLAdvTemp;typePathRelevant;adverb of time, vague time expressions;0;;
;1,30,40,65,70,$;NLAdvTime;typeBeginEndConcept;adverb of time, specific time expressions;0;;
;1,30,40,50,60,63,65,70,80,$;NLArt;typeOther;definite or indefinite article;0;;
;1,40,50,60,63,65,70,80,$;NLAttradj;typeConcept;attributive adjective;0;;
;1,40,65,70,$;NLAux;typeRelation;forms of auxiliaries "zijn" and "hebben";0;;
;1,40,65,$;NLAuxCon;typeAmbiguous;auxiliary verb or noun: kan, wil;0;;
;1,40,50,60,65,70,80,$;NLBegin;typeBeginConcept;concept word that starts a concept;0;;
;1,40,50,65,$;NLBeginEnd;typeBeginEndConcept;entire concept, not to be merged with the preceding or following concept;0;;
;1,50,70,80,$;NLBeginpron;typeBeginConcept;pronoun that starts a Concept;0;;
;70,80,$;NLBeginrel;typeBeginRelation;starts a relation, used to manage attribute expansion;0;;
;1,63,70,$;NLColon;typeOther;colon;0;;
;1,40,50,60,65,70,$;NLConAttradj;typeConcept;noun or attributive adjective;0;;
;1,40,65,$;NLConIfCap;typeOther;concept if capitalized;0;;
;1,40,65,$;NLConIfAllCap;typeOther;concept if entirely capitalized;0;;
;1,40,60,63,70,80,$;NLConj;typeRelation;conjunction;0;;
;1,70,80,$;NLConj2;typeBeginRelation;certain conjunctions that start a relation;0;;
;1,40,50,60,65,70,$;NLAdjCon;typeConcept;concept or adjective;0;;
;1,30;NLDate;typeConcept;date in numbers (regex);0;;
;1,30,40,50;NLDay;typeConcept;names of days;0;;
;1,40,50,63,65,$;NLDempron;typeAmbiguous;demonstrative pronouns;0;;
;1,30;NLDigitaltime;typeConcept;digital time;0;;
;1,30,40,50,65,70,80,$;NLEnd;typeEndConcept;last word of a concept;0;;
;1,40,65,$;NLFirstname;typeConcept;first name;0;;
;1,50,$;NLIndefpron;typeAmbiguous;pronoun that can be PathRelevant or part of Concept;0;;
;1,40,50,60,63,65,70,80,$;NLInf;typeRelation;infinitive;0;;
;1,40,65,$;NLInfCon;typeAmbiguous;infinitive or noun;0;;
;1,30,40,50,65,$;NLJaar;typeConcept;year numbers;0;;
;1,40,$;NLLayout;typeBeginEndConcept;numbered list, footnotes etc.;0;;
;1,40,65,70,80;NLLinkingverb;typeRelation;linking verbs, used to make adverbs Concepts;0;;
;1,40,63,65,70,$;NLmAux;typeRelation;modal auxiliary verbs;0;;
;1,40,50,65,$;NLMeasure;typeConcept;words that express a measure or amount;0;;
;1,30,40,50;NLMonth;typeConcept;month name;0;;
;1,70;NLNominf;typeRelation;extra label for nominal infinitive, assigned in rules, preliminary typeRelation;0;;
;1,40,65,$;NLNooit;typeRelation;nooit;0;;
;1,30,40,50,60,65,70,$;NLNum;typeConcept;numbers;0;;
;1,40,50,60,65,70,$;NLObjpron;typePathRelevant;mij, jou, hem, etc.;0;;
;1,40,60,63,65,70,80,$;NLOndvw;typeRelation;subordinate conjunction;0;;
;1,40,65,$;NLPart;typeRelation;past participle,label for participles before disambiguation (Adj or Partrel);0;;
;1,40,50,63,65,70,80,$;NLPartrel;typeRelation;past participle that is disambiguated as a relation;0;;
;1,40;NLPartVerb;typeAmbiguous;past participle or conjugated verb;0;;
;1,40;NLPartVerbInf;typeAmbiguous;past participle or conjugated verb or infinitive;0;;
;1,40,65,$;NLPartCon;typeAmbiguous;past participle or noun;0;;
;1,30;NLPartofyear;typeConcept;used in time expressions;0;;
;1,40,50,60,70,80,$;NLPathRelevant;typePathRelevant;label for miscellaneous PathRelevant entities;0;;
;1,40,50,60,63,65,70,80,$;NLPoss;typePathRelevant;mijn, jouw, uw, onze;0;;
;1,40,50,60,63,65,70,80,85,$;NLPrep;typeRelation;prepositions and preposition-like word groups;0;;
;1,40,50,65,70,80;NLPrep2;typeRelation;prepositions that can be followed by verbs;0;;
;1,40,50,63,65,70,80,$;NLRAdv;typeRelation;adverb as relation;0;;
;1,40,65,70,$;NLRefl;typeRelation;zich;0;;
;1,40,50,63,65,70,80,85,$;NLRel;typeRelation;unambiguous relation;0;;
;1,40,50,65,$;NLRelAdj;typeAmbiguous;relation or modifier, partly replaces NLRelMod;0;;
;1,40,65,$;NLRelCon;typeAmbiguous;verb or noun;0;;
;1,40,65,$;NLRelConAdj;typeAmbiguous;verb, adjective or concept;0;;
;1,40,65,$;NLRelConAdv;typeAmbiguous;verb, noun or adverb;0;;
;1,40,65,$;NLRelConModOth;typeAmbiguous;dat, wat, hetgeen;0;;
;1,40,65,$;NLRelModAdv;typeAmbiguous;verb, adjective or adverb;0;;
;1,40,65,70,80,$;NLRelOndvwPrep;typeRelation;verb, subordinate conjunction or preposition;0;;
;1,40,50,63,65,70,$;NLRelAux;typeRelation;main verb verb or auxiliary;0;;
;1,40,65,70,$;NLRelAuxCon;typeAmbiguous;main verb, auxiliary or noun: was;0;;
;1,40,65,$;NLRelPrepAdj;typeAmbiguous;verb, preposition or adjective;0;;
;1,63,70,80,$;NLRelpron;typeRelation;relative pronouns for negation expansion, only as extra label;0;;
;1,40,65,$;NLStemCon;typeAmbiguous;verb stem or noun;0;;
;1,40,50,60,63,65,70,80,$;NLSubjpron;typePathRelevant;personal pronoun in subject form;0;;
;1,40;NLteAux;typeRelation;for pattern 'te Inf teAux.' e.g. (te horen) kregen;0;;
;1,30;NLTimeconcept;typeConcept;word that is used in time expressions;0;;
;1,40,50,60,63,65,70,80,$;NLVerb;typeRelation;conjugated verb;0;;
;1,30,40;NLWeek;typeConcept;deze/volgende/vorige/dezelfde week;0;;

/* Labels for specific words; some of them cover small sets of words
;1,40;NLAl;typeOther;(ook) al;0;;
;1,40,50,65,$;NLAnderen;typePathRelevant;anderen: PathRelevant or part of Concept;0;;
