;;“;";;rewrites curly quotation marks
;;”;";;rewrites curly quotation marks
;;‘;';;rewrites curly quotation marks
;;’;';;rewrites curly quotation marks
;;.-;. -;;adds space between period and dash
;;--; -- ;;to detach special dash from word
;;…; … ;;to detach suspension point from word
;;\);;;to make bracket attached to word NonRelevant
;;(\;;;to make bracket attached to word NonRelevant
;;-ei\; _verbsuffix-ei_;;
;;-emos\; _verbsuffix-emos_;;
;;-ia\; _verbsuffix-ia_;;
;;-iam\; _verbsuffix-iam_;;
;;-á\; _verbsuffix-á_;;
;;-ão\; _verbsuffix-ão_;;
;;-íamos\; _verbsuffix-íamos_;;
;;-se-lhes; _suffix-se_lhes_;;NOTE: no end-of-word condition for this case
;;-se-lhe; _suffix-se_lhe_;;NOTE: no end-of-word condition for this case
;;-se-me\; _suffix-se-me_;;
;;-se-nos\; _suffix-se-nos_;;
;;-lhe\; _suffix-lhe_;;
;;-lhes\; _suffix-lhes_;;
;;-lha\; _suffix-lha_;;
;;-lhas\; _suffix-lhas_;;
;;-lho\; _suffix-lho_;;
;;-lhos\; _suffix-lhos_;;
;;-me\; _suffix-me_;;
;;-se\; _suffix-se_;;
;;-vos\; _suffix-vos_;;
;;mo-la\;mo _verbsuffix-la_;;
;;mo-las\;mo _verbsuffix-las_;;
;;mo-lo\;mo _verbsuffix-lo_;;
;;mo-los\;mo _verbsuffix-los_;;
;;-la\; _infsuffix-la_;;
;;-las\; _infsuffix-las_;;
;;-lo\; _infsuffix-lo_;;
;;-los\; _infsuffix-los_;;
;;-na\; _suffix-na_;;
;;-nas\; _suffix-nas_;;
;;-no\; _suffix-no_;;
;;r-nos\;r _infsuffix-nos_;;
;;-nos\; _verbsuffix-nos_;;
;;-a\; _suffix-a_;;
;;-as\; _suffix-as_;;
;;-o\; _suffix-o_;;
;;-os\; _suffix-os_;;
;;-ei.\; _verbsuffix-ei_.;;
;;-emos.\; _verbsuffix-emos_.;;
;;-ia.\; _verbsuffix-ia_.;;
;;-iam.\; _verbsuffix-iam_.;;
;;-á.\; _verbsuffix-á_.;;
;;-ão.\; _verbsuffix-ão_.;;
;;-íamos.\; _verbsuffix-íamos_.;;
;;-se-me.\; _suffix-se-me_.;;
;;-se-nos.\; _suffix-se-nos_.;;
;;-lhe.\; _suffix-lhe_.;;
;;-lhes.\; _suffix-lhes_.;;
;;-lha.\; _suffix-lha_.;;
;;-lhas.\; _suffix-lhas_.;;
;;-lho.\; _suffix-lho_.;;
;;-lhos.\; _suffix-lhos_.;;
;;-me.\; _suffix-me_.;;
;;-se.\; _suffix-se_.;;
;;-vos.\; _suffix-vos_.;;
;;mo-la.\;mo _verbsuffix-la_.;;
;;mo-las.\;mo _verbsuffix-las_.;;
;;mo-lo.\;mo _verbsuffix-lo_.;;
;;mo-los.\;mo _verbsuffix-los_.;;
;;-la.\; _infsuffix-la_.;;
;;-las.\; _infsuffix-las_.;;
;;-lo.\; _infsuffix-lo_.;;
;;-los.\; _infsuffix-los_.;;
;;-na.\; _suffix-na_.;;
;;-nas.\; _suffix-nas_.;;
;;-no.\; _suffix-no_.;;
;;r-nos.\;r _infsuffix-nos_.;;
;;-nos.\; _verbsuffix-nos_.;;
;;-a.\; _suffix-a_.;;
;;-as.\; _suffix-as_.;;
;;-o.\; _suffix-o_.;;
;;-os.\; _suffix-os_.;;
;;-ei,\; _verbsuffix-ei_,;;
;;-emos,\; _verbsuffix-emos_,;;
;;-ia,\; _verbsuffix-ia_,;;
;;-iam,\; _verbsuffix-iam_,;;
;;-á,\; _verbsuffix-á_,;;
;;-ão,\; _verbsuffix-ão_,;;
;;-íamos,\; _verbsuffix-íamos_,;;
;;-se-me,\; _suffix-se-me_,;;
;;-se-nos,\; _suffix-se-nos_,;;
;;-lhe,\; _suffix-lhe_,;;
;;-lhes,\; _suffix-lhes_,;;
;;-lha,\; _suffix-lha_,;;
;;-lhas,\; _suffix-lhas_,;;
;;-lho,\; _suffix-lho_,;;
;;-lhos,\; _suffix-lhos_,;;
;;-me,\; _suffix-me_,;;
;;-se,\; _suffix-se_,;;
;;-vos,\; _suffix-vos_,;;
;;mo-la,\;mo _verbsuffix-la_,;;
;;mo-las,\;mo _verbsuffix-las_,;;
;;mo-lo,\;mo _verbsuffix-lo_,;;
;;mo-los,\;mo _verbsuffix-los_,;;
;;-la,\; _infsuffix-la_,;;
;;-las,\; _infsuffix-las_,;;
;;-lo,\; _infsuffix-lo_,;;
;;-los,\; _infsuffix-los_,;;
;;-na,\; _suffix-na_,;;
;;-nas,\; _suffix-nas_,;;
;;-no,\; _suffix-no_,;;
;;r-nos,\;r _infsuffix-nos_,;;
;;-nos,\; _verbsuffix-nos_,;;
;;-a,\; _suffix-a_,;;
;;-as,\; _suffix-as_,;;
;;-o,\; _suffix-o_,;;
;;-os,\; _suffix-os_,;;
;;-ei:\; _verbsuffix-ei_:;;
;;-emos:\; _verbsuffix-emos_:;;
;;-ia:\; _verbsuffix-ia_:;;
;;-iam:\; _verbsuffix-iam_:;;
;;-á:\; _verbsuffix-á_:;;
;;-ão:\; _verbsuffix-ão_:;;
;;-íamos:\; _verbsuffix-íamos_:;;
;;-se-me:\; _suffix-se-me_:;;
;;-se-nos:\; _suffix-se-nos_:;;
;;-lhe:\; _suffix-lhe_:;;
;;-lhes:\; _suffix-lhes_:;;
;;-lha:\; _suffix-lha_:;;
;;-lhas:\; _suffix-lhas_:;;
;;-lho:\; _suffix-lho_:;;
;;-lhos:\; _suffix-lhos_:;;
;;-me:\; _suffix-me_:;;
;;-se:\; _suffix-se_:;;
;;-vos:\; _suffix-vos_:;;
;;mo-la:\;mo _verbsuffix-la_:;;
;;mo-las:\;mo _verbsuffix-las_:;;
;;mo-lo:\;mo _verbsuffix-lo_:;;
;;mo-los:\;mo _verbsuffix-los_:;;
;;-la:\; _infsuffix-la_:;;
;;-las:\; _infsuffix-las_:;;
;;-lo:\; _infsuffix-lo_:;;
;;-los:\; _infsuffix-los_:;;
;;-na:\; _suffix-na_:;;
;;-nas:\; _suffix-nas_:;;
;;-no:\; _suffix-no_:;;
;;r-nos:\;r _infsuffix-nos_:;;
;;-nos:\; _verbsuffix-nos_:;;
;;-a:\; _suffix-a_:;;
;;-as:\; _suffix-as_:;;
;;-o:\; _suffix-o_:;;
;;-os:\; _suffix-os_:;;
;;-se _verbsuffix; _suffix-se_ _verbsuffix;;
;;-lhe _verbsuffix; _suffix-lhe_ _verbsuffix;;
;;-lhes _verbsuffix; _suffix-lhes_ _verbsuffix;;
;;-nos _verbsuffix; _verbsuffix-nos_ _verbsuffix;;
;;não-;não- ;;to mark adjectives and participles with negative prefix as negation marker
;;Não-;não- ;;to mark adjectives and participles with negative prefix as negation marker
