


/* Variants of unified labels
;38,39,40,$;RUCapitalInitial;typeAttribute;language specific variant of unified label for capital initial;0;;
;38,40,$;RUCapitalAll;typeAttribute;language specific variant of unified label for capital all;0;;
;38,39,40,65,66,70,80,$;RUPunctuation;typeEndConcept;language specific variant of unified label for punctuation;0;;
;40,$;RURelation;typeRelation;language specific variant of unified label for general relation;0;;
;40,$;RUNonRelevant;typeOther;language specific variant of unified label for general nonrelevant;0;;


/* Mandatory attributes
;;Subject;typeAttribute;mandatory attribute;0;;
;;Object;typeAttribute;mandatory attribute;0;;
;;PrimaryRelation;typeAttribute;mandatory attribute;0;;

/* Default label
;1,38,39,40,60,65,66,70,80,$;RUCon;typeConcept;default label;1;;

/* RU labels
;1,40,50,$;RUActobj;typeAmbiguous;personal pronoun as acting object;0;;
;1,38,40,50,60,65,66,70,80,$;RUAdj;typeConcept;adjective;0;;
;1,39;RUAdjAccF;typeConcept;adjective accusative feminine;0;;
;1,39;RUAdjDatMN;typeConcept;adjective dative masculine/neuter;0;;
;1,38,39;RUAdjGDPIF;typeConcept;adjective genitive/dative/prepositional/instrumental feminine;0;;
;1,38,39,40,65,$;RUAdjGen;typeConcept;general label for genitive adjectives;0;;
;1,39;RUAdjGenMN;typeConcept;adjective genitive masculine/neuter;0;;
;1,39;RUAdjGenPl;typeConcept;adjective genitive plural;0;;
;1,40,$;RUAdjInstr;typeConcept;adjective intstrumental;0;;
;1,39,40;RUAdjInstrMN/DatPl;typeConcept;adjective instrumental masculine/neuter or dative plural;0;;
;1,39;RUAdjInstrPl;typeConcept;adjective instrumental plural;0;;
;1,39;RUAdjNomAccPl;typeConcept;adjective nominative/accusative plural;0;;
;1,39;RUAdjNomF;typeConcept;adjective nominative feminine;0;;
;1,39;RUAdjNomM;typeConcept;adjective nominative masculine;0;;
;1,39;RUAdjNomN;typeConcept;adjective nominative neuter;0;;
;1,40,65,$;RUAdjPossibleBCon;typeConcept;adjective possibly BeginConcept;0;;
;1,39;RUAdjPreposMN;typeConcept;adjective prepositional masculine/neuter;0;;
;1,38,40,$;RUAdv;typeAmbiguous;adverb of manner;0;;
;1,38,40,50,60,65,66,70,$;RUAdvPR;typePathRelevant;pathrelevant adverbs of time and place;0;;
;1,40,$;RUAdvaux;typeAmbiguous;modal adverb;0;;
;1,38,40,$;RUAdvdegree;typeAmbiguous;adverb of degree;0;;
;1,38,40,$;RUAdvdegreeNR;typeAmbiguous;adverb of degree which can become nonrelevant;0;;
;1,40,$;RUAdvPred;typeAmbiguous;adverb or predicate;0;;
;1,40,$;RUAdvRefl;typeAmbiguous;adverb or reflexive pronoun;0;;
;1,39,40,60,65,66,70,80,$;RUAdvStruct;typeOther;structural adverb;0;;
;1,40,70,$;RUAdvTime;typeBeginEndConcept;adverbs of time: concrete time indications;0;;
;1,40,65,70,80,$;RUAndOrBut;typeRelation;'and'/'or'/'but';0;;
;1,39,40,60,66,70,80,$;RUAndOr;typeRelation;'and'/'or';0;;
;1,70;RUAntecedent;typeOther;extra label to limit expansion for antecedents;0;;
;1,39,40,60,65,70,80,$;RUAux;typeRelation;auxiliary verb;0;;
;1,40,60,65,66,70,80,$;RUBCon;typeBeginConcept;begin concept;0;;
;1,40,60,65,66,70,80,$;RUCAdv;typeConcept;adverb as concept;0;;
;1,39,40,70,$;RUBeginendconcept;typeBeginEndConcept;beginconcept plus endconcept;0;;
;70,80,$;RUBeginrel;typeBeginRelation;to split relations to manage attribute expansion;0;;
;1,40;RUBeginTime;typeAmbiguous;words that start a time indication;0;;
;1,40;RUBracketsnumber;typeConcept;number in between brackets;0;;
;1,40,$;RUCapitalInitial2;typeAttribute;to use label in phase 40 without the risk that it is overwritten in phase 39;0;;
;1,39,40;RUCentury;typeConcept;century;0;;
;1,38,40,60,65,66,70,80,$;RUComma;typeEndConcept;comma;0;;
;1,38,40,70;RUComp;typeRelation;comparatives, except 'more'/'less';0;;
;1,38,40,$;RUCompgr;typeAmbiguous;'more'/'less';0;;
;1,65,70;RUCond;typeAmbiguous;for lexreps containing the conditional 'бы' after which 'ни' doesn't express negation;0;;
;1,39,40,65,$;RUConGen;typeConcept;general label for genitive nouns;0;;
;1,39;RUConGenF/NomAccPl;typeConcept;noun genitive feminine or nominative/accusative plural;0;;
;1,39;RUConGenMN;typeConcept;noun genitive masculine/neuter;0;;
;1,39;RUConGenF;typeConcept;noun genitive feminine;0;;
;1,39;RUConGenPl;typeConcept;noun genitive plural;0;;
;1,40,$;RUConIfCap;typeConcept;make concept if capitalized;0;;
;1,40,$;RUConIfCap1;typeConcept;make concept if capitalized - for one-letter-words;0;;
;1,39;RUConInstrMN;typeConcept;noun instrumental masculine/neuter;0;;
;1,39;RUConInstrPl;typeConcept;noun instrumental plural;0;;
