
/* Variants of unified labels
;39,40,$;UKCapitalInitial;typeAttribute;language specific variant of unified label for capital initial;0;;
;39,40,$;UKCapitalMixed;typeAttribute;language specific variant of unified label for capital mixed;0;;
;39,40,$;UKCapitalAll;typeAttribute;language specific variant of unified label for capital all;0;;
;38,39,40,60,66,70,80,$;UKPunctuation;typeOther;language specific variant of unified label for punctuation;0;;
;40,$;UKRelation;typeRelation;language specific variant of unified label for general relation;0;;
;40,$;UKNonRelevant;typeOther;language specific variant of unified label for general nonrelevant;0;;

/* Required labels
;1,$;Subject;typeAttribute;mandatory attribute;0;;
;1,$;Object;typeAttribute;mandatory attribute;0;;
;1,$;PrimaryRelation;typeAttribute;mandatory attribute;0;;

/* Default label
;1,38,39,40,60,65,66,70,80,$;UKCon;typeConcept;default label;1;;

/* Structural labels
;1,40,$;-;typeOther;symbol for composite labels;0;;

/* UK labels
;1,40;UKActobj;typeAmbiguous;personal pronoun as acting object;0;;
;1,38,39,40,60,65,66,70,80,$;UKAdj;typeConcept;adjective;0;;
;1,39;UKAdjAccF;typeConcept;adjective accusative feminine;0;;
;1,39;UKAdjDatPl;typeConcept;adjective dative plural or instrumental male/neuter;0;;
;1,39;UKAdjDatLoc;typeConcept;general label for adjective dative/prepositional;0;;
;1,39;UKAdjDatLocF;typeConcept;adjective dative/prepositional feminine;0;;
;1,39;UKAdjDatLocMN;typeConcept;adjective dative/prepositional male/neuter;0;;
;1,39;UKAdjNomF;typeConcept;adjective nominative feminine;0;;
;1,39;UKAdjNomM;typeConcept;adjective nominative male;0;;
;1,39;UKAdjNomN;typeConcept;adjective nominative neuter;0;;
;1,39;UKAdjNomPl;typeConcept;adjective nominative plural;0;;
;1,39;UKAdjInstr;typeConcept;general label for adjective instrumental;0;;
;1,39;UKAdjInstrF;typeConcept;adjective instrumental feminine;0;;
;1,39;UKAdjInstrMN;typeConcept;adjective instrumental masculine/neuter;0;;
;1,39;UKAdjInstrPl;typeConcept;adjective instrumental plural;0;;
;1,40;UKAdjAdv;typeAmbiguous;Adjective or adverb;0;;
;1,40;UKAdjAdvComp;typeAmbiguous;Adjective or adverb: comparative;0;;
;1,40;UKAdjComp;typeAmbiguous;Adjective comparative;0;;
;1,39,40;UKAdjCon;typeAmbiguous;Ambiguous: Adjective or Noun;0;;
;1,39,40,65,70;UKAdjGen;typeConcept;general label for adjectives in Genitive;0;;
;1,39;UKAdjGenMN;typeConcept;adjectives in Genitive masculine/neuter;0;;
;1,39;UKAdjGenF;typeConcept;adjectives in Genitive feminine;0;;
;1,39;UKAdjGenPl;typeConcept;adjectives in Genitive plural;0;;
;1,39,40;UKAdjPossibleBCon;typeConcept;adjectives in a case that can be beginconcept;0;;
;1,38,40,65,70;UKAdv;typeAmbiguous;adverb of manner and direction;0;;
;1,40;UKAdvaux;typeAmbiguous;modal adverb;0;;
;1,40;UKAdvCon;typeConcept;ambiguous: adverb or noun;0;;
;1,38,40;UKAdvdegNR;typeAmbiguous;adverb of degree which can become nonrelevant;0;;
;1,38,40;UKAdvdegree;typeAmbiguous;adverb of degree;0;;
