



;;{number-all};;UKNum;UKDigit;UKCon;
;;{number-ending};;UKNum;UKDigit;UKCon;
;;{number-percentage};;UKNum;UKDigit;UKCon;








;;{ranking_nomf};;UKOrdNum;UKAdj;UKDigit;UKAdjNomF;
;;{ranking_nomn};;UKOrdNum;UKAdj;UKDigit;UKAdjNomN;
;;{ranking_nompl};;UKOrdNum;UKAdj;UKDigit;UKAdjNomPl;
;;{1ranking_accf};;UKOrdNum;UKAdj;UKDigit;UKAdjAccF;
;;{ranking_genmn};;UKOrdNum;UKAdj;UKDigit;UKAdjGenMN;
;;{ranking_genf};;UKOrdNum;UKAdj;UKDigit;UKAdjGenF;
;;{ranking_datlocmn};;UKOrdNum;UKAdj;UKDigit;UKAdjDatLocMN;
;;{ranking_instrf};;UKOrdNum;UKAdj;UKDigit;UKAdjInstrF;
;;{ranking_genpl};;UKOrdNum;UKAdj;UKDigit;UKAdjGenPl;
;;{ranking_instrpl};;UKOrdNum;UKAdj;UKDigit;UKAdjInstrPl;
;;{ranking_nomm_datlocf};;UKOrdNum;UKAdj;UKDigit;UKAdjNomM;UKAdjDatLocF;
;;{ranking_instrmn_datpl};;UKOrdNum;UKAdj;UKDigit;UKAdjDatPl;UKAdjInstrMN;
;;{adjcon_nomf};;UKAdjCon;UKAdjNomF;
;;{adjcon_nomm_datlocf};;UKAdjCon;UKAdjNomM;UKAdjDatLocF;
;;{adjcon_nomm};;UKAdjCon;UKAdjNomM;
;;{adjcon_nomn};;UKAdjCon;UKAdjNomN;
;;{adjcon_nompl};;UKAdjCon;UKAdjNomPl;
;;{adjcon_accf};;UKAdjCon;UKAdjAccF;
;;{adjcon_genmn};;UKAdjCon;UKAdjGenMN;
;;{adjcon_genf};;UKAdjCon;UKAdjGenF;
;;{adjcon_datlocmn};;UKAdjCon;UKAdjDatLocMN;
;;{adjcon_datlocf};;UKAdjCon;UKAdjDatLocF;
;;{adjcon_instrf};;UKAdjCon;UKAdjInstrF;
;;{adjcon_genpl};;UKAdjCon;UKAdjGenPl;
;;{adjcon_instrpl};;UKAdjCon;UKAdjInstrPl;
;;{adjcon_instrmn_datpl};;UKAdjCon;UKAdjDatPl;UKAdjInstrMN;
;;{number-year};;UKNum;UKYearNum;UKCon;UKDigit;

;;{footnote1};;UKLayout;
;;{footnote2};;UKLayout;
;;{footnote3};;UKLayout;

;;{adj_nom_f};;UKAdjNomF;UKAdj;


















